"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "HTML", "Markdown", "CSS", "XML", "comment", "blank", "total"
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/yourwebsites.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/app/yourwebsites.service.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/assets/audio.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 28, 1, 0, 29
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/assets/bars.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 52, 0, 1, 53
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/assets/three-dots.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 32, 1, 1, 34
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/environments/environment.prod.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/environments/environment.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 11, 3, 17
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/index.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/main.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/polyfills.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 47, 6, 54
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/styles.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/src/test.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 4, 5, 27
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/tailwind.config.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/tsconfig.app.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 1, 1, 16
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/tsconfig.json", "JSON with Comments", 32, 0, 0, 0, 0, 0, 0, 0, 1, 1, 34
"/Users/antoinepascual/Desktop/Projets SAAS/leaderboard/front/tsconfig.spec.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 1, 1, 19
"Total", "-", 32, 20928, 66, 1208, 651, 9, 104, 112, 172, 779, 24061
